,pair,sim,is_analogy,data_id
0,solar system__sun || atom__nucleus,0.9970573283088128,True,0
1,solar system__planet || atom__electron,0.9973680550670786,True,0
2,solar system__mass || atom__charge,0.9959334634814733,True,0
3,solar system__attracts || atom__attracts,0.9962312458739577,True,0
4,solar system__revolves || atom__revolves,0.9973129889396674,True,0
5,solar system__gravity || atom__electromagnetism,0.9938501393608485,True,0
6,sun__solar system || nucleus__atom,0.9973813948629469,True,0
7,sun__planet || nucleus__electron,0.9948230741792224,True,0
8,sun__mass || nucleus__charge,0.9952984885641505,True,0
9,sun__attracts || nucleus__attracts,0.9957824271799796,True,0
10,sun__revolves || nucleus__revolves,0.9972245135562683,True,0
11,sun__gravity || nucleus__electromagnetism,0.9953240925077105,True,0
12,planet__solar system || electron__atom,0.9962968436435178,True,0
13,planet__sun || electron__nucleus,0.9950461003672727,True,0
14,planet__mass || electron__charge,0.9971036655569948,True,0
15,planet__attracts || electron__attracts,0.9953584991819107,True,0
16,planet__revolves || electron__revolves,0.9957636382275906,True,0
17,planet__gravity || electron__electromagnetism,0.9942010039542996,True,0
18,mass__solar system || charge__atom,0.9966601260459704,True,0
19,mass__sun || charge__nucleus,0.9954257675408865,True,0
20,mass__planet || charge__electron,0.9976467171639822,True,0
21,mass__attracts || charge__attracts,0.9973238901275893,True,0
22,mass__revolves || charge__revolves,0.9967305956411597,True,0
23,mass__gravity || charge__electromagnetism,0.9958024540589387,True,0
24,attracts__solar system || attracts__atom,0.9980750115979349,True,0
25,attracts__sun || attracts__nucleus,0.9977631879888221,True,0
26,attracts__planet || attracts__electron,0.9978283308187175,True,0
27,attracts__mass || attracts__charge,0.9944064170222923,True,0
28,attracts__revolves || attracts__revolves,0.999999999826019,True,0
29,attracts__gravity || attracts__electromagnetism,0.9964511867586782,True,0
30,revolves__solar system || revolves__atom,0.998413718889639,True,0
31,revolves__sun || revolves__nucleus,0.998601589752572,True,0
32,revolves__planet || revolves__electron,0.9984116475472662,True,0
33,revolves__mass || revolves__charge,0.9961989170360664,True,0
34,revolves__attracts || revolves__attracts,0.999999999828799,True,0
35,revolves__gravity || revolves__electromagnetism,0.9961433194996714,True,0
36,gravity__solar system || electromagnetism__atom,0.9958174178557433,True,0
37,gravity__sun || electromagnetism__nucleus,0.995909835440061,True,0
38,gravity__planet || electromagnetism__electron,0.9948127307008925,True,0
39,gravity__mass || electromagnetism__charge,0.9953335864956115,True,0
40,gravity__attracts || electromagnetism__attracts,0.9969331933365999,True,0
41,gravity__revolves || electromagnetism__revolves,0.9950227479112124,True,0
42,solar system__revolves || atom__electromagnetism,0.9924734817738866,False,0
43,solar system__gravity || atom__revolves,0.9950171736119143,False,0
44,sun__revolves || nucleus__electromagnetism,0.9929758209733227,False,0
45,sun__gravity || nucleus__revolves,0.995205150850148,False,0
46,planet__revolves || electron__electromagnetism,0.9916692903007678,False,0
47,planet__gravity || electron__revolves,0.9951738044507121,False,0
48,mass__revolves || charge__electromagnetism,0.9942338298025373,False,0
49,mass__gravity || charge__revolves,0.9949063850029516,False,0
50,attracts__revolves || attracts__electromagnetism,0.996044525163215,False,0
51,attracts__gravity || attracts__revolves,0.9975523219825578,False,0
52,revolves__solar system || electromagnetism__atom,0.9936977864277401,False,0
53,revolves__sun || electromagnetism__nucleus,0.9937103999655381,False,0
54,revolves__planet || electromagnetism__electron,0.9938174923147184,False,0
55,revolves__mass || electromagnetism__charge,0.9938642031187978,False,0
56,revolves__attracts || electromagnetism__attracts,0.9941133419096075,False,0
57,revolves__gravity || electromagnetism__revolves,0.9925444069378004,False,0
