,pair,sim,is_analogy,data_id
0,solar system__sun || atom__nucleus,-0.14160561678540406,True,0
1,solar system__planet || atom__electron,-0.2253847649922392,True,0
2,solar system__mass || atom__charge,-0.19213537548913825,True,0
3,solar system__attracts || atom__attracts,0.45425834463835985,True,0
4,solar system__revolves || atom__revolves,0.43182836745405,True,0
5,solar system__gravity || atom__electromagnetism,-0.09289385264523516,True,0
6,sun__solar system || nucleus__atom,-0.14160561678540406,True,0
7,sun__planet || nucleus__electron,-0.06993330191373807,True,0
8,sun__mass || nucleus__charge,-0.016405355329503286,True,0
9,sun__attracts || nucleus__attracts,0.31530522193887917,True,0
10,sun__revolves || nucleus__revolves,0.2879474310982508,True,0
11,sun__gravity || nucleus__electromagnetism,0.0922555744445935,True,0
12,planet__solar system || electron__atom,-0.2253847649922392,True,0
13,planet__sun || electron__nucleus,-0.06993330191373807,True,0
14,planet__mass || electron__charge,-0.01878339824344005,True,0
15,planet__attracts || electron__attracts,0.5616606582868363,True,0
16,planet__revolves || electron__revolves,0.5395989644319616,True,0
17,planet__gravity || electron__electromagnetism,0.08292530021415957,True,0
18,mass__solar system || charge__atom,-0.19213537548913825,True,0
19,mass__sun || charge__nucleus,-0.016405355329503286,True,0
20,mass__planet || charge__electron,-0.01878339824344005,True,0
21,mass__attracts || charge__attracts,0.45803313728424694,True,0
22,mass__revolves || charge__revolves,0.4965496640837646,True,0
23,mass__gravity || charge__electromagnetism,0.1853355224869711,True,0
24,attracts__solar system || attracts__atom,0.45425834463835985,True,0
25,attracts__sun || attracts__nucleus,0.31530522193887917,True,0
26,attracts__planet || attracts__electron,0.5616606582868363,True,0
27,attracts__mass || attracts__charge,0.45803313728424694,True,0
28,attracts__revolves || attracts__revolves,0.9996077651589432,True,0
29,attracts__gravity || attracts__electromagnetism,0.7131042167853604,True,0
30,revolves__solar system || revolves__atom,0.43182836745405,True,0
31,revolves__sun || revolves__nucleus,0.2879474310982508,True,0
32,revolves__planet || revolves__electron,0.5395989644319616,True,0
33,revolves__mass || revolves__charge,0.4965496640837646,True,0
34,revolves__attracts || revolves__attracts,0.9996077651589432,True,0
35,revolves__gravity || revolves__electromagnetism,0.7013620226311907,True,0
36,gravity__solar system || electromagnetism__atom,-0.09289385264523516,True,0
37,gravity__sun || electromagnetism__nucleus,0.0922555744445935,True,0
38,gravity__planet || electromagnetism__electron,0.08292530021415957,True,0
39,gravity__mass || electromagnetism__charge,0.1853355224869711,True,0
40,gravity__attracts || electromagnetism__attracts,0.7131042167853604,True,0
41,gravity__revolves || electromagnetism__revolves,0.7013620226311907,True,0
