ppl,input,output,index,answer,choice
7.50892132456531,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
beauty is to aesthete what",pleasure is to hedonist,0,0,0
29.0197163583939,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
beauty is to aesthete what",emotion is to demagogue,0,0,1
26.505419820990813,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
beauty is to aesthete what",opinion is to sympathizer,0,0,2
17.988048502893413,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
beauty is to aesthete what",seance is to medium,0,0,3
22.46419573177114,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
beauty is to aesthete what",luxury is to ascetic,0,0,4
13.164881547943585,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
shove is to nudge what",vex is to mutter,1,4,0
30.436709037651685,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
shove is to nudge what",calm is to quell,1,4,1
21.358010705189947,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
shove is to nudge what",teach is to lecture,1,4,2
23.245620147877297,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
shove is to nudge what",push is to fight,1,4,3
21.34212911552722,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
shove is to nudge what",stare is to glance,1,4,4
42.04429708066172,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
reprehensible is to condemn what",torpid is to rule,2,3,0
19.601427366022833,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
reprehensible is to condemn what",innocent is to judge,2,3,1
11.389015907209231,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
reprehensible is to condemn what",depraved is to admire,2,3,2
12.099810746636605,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
reprehensible is to condemn what",estimable is to praise,2,3,3
40.09937355222189,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
reprehensible is to condemn what",worthy is to parody,2,3,4
64.75407283828625,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
contemporaries is to age what",housemates is to residence,3,0,0
35.26984450631655,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
contemporaries is to age what",faculty is to scholarship,3,0,1
19.720979450638627,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
contemporaries is to age what",idols is to worship,3,0,2
31.005726556505902,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
contemporaries is to age what",kin is to reunion,3,0,3
21.057091594439814,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
contemporaries is to age what",authors is to anthology,3,0,4
9.720389715176017,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
disingenuous is to craftiness what",ecstatic is to contentment,4,4,0
60.828588443153116,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
disingenuous is to craftiness what",idolatrous is to doubt,4,4,1
7.832760786150789,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
disingenuous is to craftiness what",narcissistic is to appearance,4,4,2
8.3010509065939,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
disingenuous is to craftiness what",penitent is to wrongdoing,4,4,3
6.968171447575737,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
disingenuous is to craftiness what",surreptitious is to stealth,4,4,4
82.08418453731979,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
calculator is to compute what",plug is to insert,5,1,0
30.76856051958728,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
calculator is to compute what",clamp is to grip,5,1,1
31.28881450779735,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
calculator is to compute what",saddle is to straddle,5,1,2
22.477948487962752,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
calculator is to compute what",bridge is to suspend,5,1,3
24.514072985898707,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
calculator is to compute what",incinerator is to warm,5,1,4
10.597436730594872,"jewelry is to ring what vegetable is to carrot
nuts is to cashews what utensils is to forks
classroom is to students what hive is to bees
laugh is to amusement what nod is to agreement
physician is to degree what champion is to trophy
arsonist is to fire what artist is to masterpiece
bread is to flour what body is to flesh
accept is to reject what hot is to cold
glass is to shattered what flammable is to lit
bank is to money what bird is to wings
lens is to glass what",well is to water,6,2,0
